"id";"student_id";"name";"email";"password";"phone_number";"active"
1;1;"Rajesh Sharma";"rajesh.sharma1@gmail.com";"parent@123";"9876543001";1
2;2;"Sunita Patel";"sunita.patel2@gmail.com";"parent@123";"9876543002";1
3;3;"Anil Deshmukh";"anil.deshmukh3@gmail.com";"parent@123";"9876543003";1
4;4;"Kavita Joshi";"kavita.joshi4@gmail.com";"parent@123";"9876543004";1
5;5;"Ramesh Pawar";"ramesh.pawar5@gmail.com";"parent@123";"9876543005";1
6;6;"Meena Kulkarni";"meena.kulkarni6@gmail.com";"parent@123";"9876543006";1
7;7;"Suresh Naik";"suresh.naik7@gmail.com";"parent@123";"9876543007";1
8;8;"Lata Gaikwad";"lata.gaikwad8@gmail.com";"parent@123";"9876543008";1
9;9;"Dinesh Shinde";"dinesh.shinde9@gmail.com";"parent@123";"9876543009";1
10;10;"Nandini Yadav";"nandini.yadav10@gmail.com";"parent@123";"9876543010";1
11;11;"Manoj Patil";"manoj.patil11@gmail.com";"parent@123";"9876543011";1
12;12;"Archana Rane";"archana.rane12@gmail.com";"parent@123";"9876543012";1
13;13;"Ganesh More";"ganesh.more13@gmail.com";"parent@123";"9876543013";1
14;14;"Sangeeta Jadhav";"sangeeta.jadhav14@gmail.com";"parent@123";"9876543014";1
15;15;"Vinod Salunkhe";"vinod.salunkhe15@gmail.com";"parent@123";"9876543015";1
16;16;"Pooja Khot";"pooja.khot16@gmail.com";"parent@123";"9876543016";1
17;17;"Mahesh Sawant";"mahesh.sawant17@gmail.com";"parent@123";"9876543017";1
18;18;"Nisha Bhujbal";"nisha.bhujbal18@gmail.com";"parent@123";"9876543018";1
19;19;"Vikas Chavan";"vikas.chavan19@gmail.com";"parent@123";"9876543019";1
20;20;"Sneha Lokhande";"sneha.lokhande20@gmail.com";"parent@123";"9876543020";1
21;21;"Ravi Bhosale";"ravi.bhosale21@gmail.com";"parent@123";"9876543021";1
22;22;"Jyoti Kadam";"jyoti.kadam22@gmail.com";"parent@123";"9876543022";1
23;23;"Sanjay Phadke";"sanjay.phadke23@gmail.com";"parent@123";"9876543023";1
24;24;"Seema Tambe";"seema.tambe24@gmail.com";"parent@123";"9876543024";1
25;25;"Prakash Zende";"prakash.zende25@gmail.com";"parent@123";"9876543025";1
26;26;"Aarti Gawade";"aarti.gawade26@gmail.com";"parent@123";"9876543026";1
27;27;"Harish Thakur";"harish.thakur27@gmail.com";"parent@123";"9876543027";1
28;28;"Neelam Kharat";"neelam.kharat28@gmail.com";"parent@123";"9876543028";1
29;29;"Kiran Ghorpade";"kiran.ghorpade29@gmail.com";"parent@123";"9876543029";1
30;30;"Manisha Hegde";"manisha.hegde30@gmail.com";"parent@123";"9876543030";1
31;31;"Vishal Kamble";"vishal.kamble31@gmail.com";"parent@123";"9876543031";1
32;32;"Rekha Kore";"rekha.kore32@gmail.com";"parent@123";"9876543032";1
33;33;"Arun Rathod";"arun.rathod33@gmail.com";"parent@123";"9876543033";1
34;34;"Usha Ghadge";"usha.ghadge34@gmail.com";"parent@123";"9876543034";1
35;35;"Sachin Bhise";"sachin.bhise35@gmail.com";"parent@123";"9876543035";1
36;36;"Smita Mhatre";"smita.mhatre36@gmail.com";"parent@123";"9876543036";1
37;37;"Ashok Waghmare";"ashok.waghmare37@gmail.com";"parent@123";"9876543037";1
38;38;"Priya Ingle";"priya.ingle38@gmail.com";"parent@123";"9876543038";1
39;39;"Deepak Borade";"deepak.borade39@gmail.com";"parent@123";"9876543039";1
40;40;"Kajal Gite";"kajal.gite40@gmail.com";"parent@123";"9876543040";1
41;41;"Avinash Koli";"avinash.koli41@gmail.com";"parent@123";"9876543041";1
42;42;"Neeta Babar";"neeta.babar42@gmail.com";"parent@123";"9876543042";1
43;43;"Sharad Raut";"sharad.raut43@gmail.com";"parent@123";"9876543043";1
44;44;"Vaishali Mali";"vaishali.mali44@gmail.com";"parent@123";"9876543044";1
45;45;"Mangesh Dhumal";"mangesh.dhumal45@gmail.com";"parent@123";"9876543045";1
46;46;"Bhavana Dube";"bhavana.dube46@gmail.com";"parent@123";"9876543046";1
47;47;"Rohit Sathe";"rohit.sathe47@gmail.com";"parent@123";"9876543047";1
48;48;"Pallavi Jagtap";"pallavi.jagtap48@gmail.com";"parent@123";"9876543048";1
49;49;"Narayan Teli";"narayan.teli49@gmail.com";"parent@123";"9876543049";1
50;50;"Sheetal Ghule";"sheetal.ghule50@gmail.com";"parent@123";"9876543050";1
51;51;"Prashant Shelar";"prashant.shelar51@gmail.com";"parent@123";"9876543051";1
52;52;"Swati Wankhede";"swati.wankhede52@gmail.com";"parent@123";"9876543052";1
53;53;"Rajan Divate";"rajan.divate53@gmail.com";"parent@123";"9876543053";1
54;54;"Kalpana Londhe";"kalpana.londhe54@gmail.com";"parent@123";"9876543054";1
55;55;"Hemant Karpe";"hemant.karpe55@gmail.com";"parent@123";"9876543055";1
56;56;"Nikita Pardeshi";"nikita.pardeshi56@gmail.com";"parent@123";"9876543056";1
57;57;"Ajay Tamhane";"ajay.tamhane57@gmail.com";"parent@123";"9876543057";1
58;58;"Ritika Shingane";"ritika.shingane58@gmail.com";"parent@123";"9876543058";1
59;59;"Sharad Baviskar";"sharad.baviskar59@gmail.com";"parent@123";"9876543059";1
60;60;"Anita Lokare";"anita.lokare60@gmail.com";"parent@123";"9876543060";1
61;61;"Sanjiv Sutar";"sanjiv.sutar61@gmail.com";"parent@123";"9876543061";1
62;62;"Asmita Dhumal";"asmita.dhumal62@gmail.com";"parent@123";"9876543062";1
63;63;"Bhushan Kumbhar";"bhushan.kumbhar63@gmail.com";"parent@123";"9876543063";1
64;64;"Nisha Shewale";"nisha.shewale64@gmail.com";"parent@123";"9876543064";1
65;65;"Yogesh Lavate";"yogesh.lavate65@gmail.com";"parent@123";"9876543065";1
66;66;"Neha Tokare";"neha.tokare66@gmail.com";"parent@123";"9876543066";1
67;67;"Swapnil Bhandare";"swapnil.bhandare67@gmail.com";"parent@123";"9876543067";1
68;68;"Meenal Kapse";"meenal.kapse68@gmail.com";"parent@123";"9876543068";1
69;69;"Chinmay Vetal";"chinmay.vetal69@gmail.com";"parent@123";"9876543069";1
70;70;"Rani Sutar";"rani.sutar70@gmail.com";"parent@123";"9876543070";1
71;71;"Jitendra Kadam";"jitendra.kadam71@gmail.com";"parent@123";"9876543071";1
72;72;"Dipali Mate";"dipali.mate72@gmail.com";"parent@123";"9876543072";1
73;73;"Tushar Tapkir";"tushar.tapkir73@gmail.com";"parent@123";"9876543073";1
74;74;"Priti Chaure";"priti.chaure74@gmail.com";"parent@123";"9876543074";1
75;75;"Santosh Thombare";"santosh.thombare75@gmail.com";"parent@123";"9876543075";1
76;76;"Snehal Jivane";"snehal.jivane76@gmail.com";"parent@123";"9876543076";1
77;77;"Kiran Borse";"kiran.borse77@gmail.com";"parent@123";"9876543077";1
